국가명,국가코드(ISO 2자리 코드),겸임(관할),재외공관 유형,재외공관명,재외공관 위도,재외공관 경도,전화번호,영사콜센터번호,무료전화번호,긴급전화번호,재외공관주소
세인트 루시아,LC,겸임,대사관,주 트리니다드토바고 대한민국 대사관,10.669715,-61.522711,(1)868-622-9081,(82)2-3210-0404,080-020-0219,(1)868-316-5672,"30# Elizabth street, St.Clair, Port of Spain, Trinidad and Tobago,"
세인트 빈센트 그레나딘,VC,겸임,대사관,주 트리니다드토바고 대한민국 대사관,10.669715,-61.522711,(1)868-622-9081,(82)2-3210-0404,080-020-0219,(1)868-316-5672,"30# Elizabth street, St.Clair, Port of Spain, Trinidad and Tobago,"
세인트 키츠 네비스,KN,겸임,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
소말리아,SO,겸임,대사관,주 케냐 대한민국 대사관,-1.270147,36.810002,(254)20-361-5109,(82)2-3210-0404,080-020-0219,(254)708-984-891,"Misha Towers, Westlands Road, Nairobi, Kenya,"
솔로몬제도,SB,겸임,대사관,주 파푸아뉴기니독립국 대한민국 대사관,-9.476991,147.150749,(675)321-5822,(82)2-3210-0404,080-020-0219,(675)7394-6778,"P.O.Box 381 Port Moresby, Papua New Guinea, 4th floor, Pacific MMI Building, Sec 21, Lot 2&amp;3, Champion Parade, Granville, Port Moresby, Papua New Guinea,"
수단,SD,일반,대사관,주 수단 대한민국 대사관,15.501577,32.572596,(249)1-8358-0031,(82)2-3210-0404,080-020-0219,(249)9-1217-2813,"House No.55, Al-Jazira Street 56, Khartoum 2, P.O.Box 2414, Khartoum, Sudan,"
수리남,SR,겸임,대사관,주 베네수엘라 대한민국 대사관,10.491337,-66.861998,(58)212-954-1270,(82)2-3210-0404,080-020-0219,(58)412-309-3247,"Av. Francisco de Miranda, Centro Lido, Torre B, Piso 9, Ofic. 91-92-B, El Rosal, Caracas, Venezuela,"
스리랑카,LK,일반,대사관,주 스리랑카 대한민국 대사관,6.918141,79.847301,(94)11-269-9036,(82)2-3210-0404,080-020-0219,(94)77-332-5676,"No. 98, Dharmapala Mawatha, Colombo 7, Sri Lanka,"
스웨덴,SE,일반,대사관,주 스웨덴 대한민국 대사관,59.332817,18.103148,(46)8-5458-9400,(82)2-3210-0404,080-020-0219,(46)73-330-1616,"Laboratoriegatan 10, P.O.Box 27237, 102 53 Stockholm, Sweden,"
스위스,CH,일반,대사관,주 스위스 대한민국 대사관,46.936967,7.46239,(41)31-356-2444,(82)2-3210-0404,080-020-0219,(41)79-897-4086,"Kalcheggweg 38, P.O.Box 301, 3006 Bern, Switzerland,"
스페인,ES,일반,대사관,주 스페인 대한민국 대사관,40.465724,-3.666792,(34)91-353-2000,(82)2-3210-0404,080-020-0219,(34)648-924-695,"Calle Gonzalez Amigo 15, 28033 Madrid, Spain,"
스페인,ES,일반,총영사관,주 바르셀로나 대한민국 총영사관,41.395953,2.160005,(34)93-487-3153,(82)2-3210-0404,080-020-0219,(34)682-862-431,"Paseo de Gracia 103, 3층, 08008, Barcelona,"
스페인,ES,일반,분관,주 라스팔마스 대한민국 분관,28.120204,-15.424954,(34)928-230-499,(82)2-3210-0404,080-020-0219,(34)629-155-134,"Luis Doreste Silva 60-1, 35004 Las Palmas de Gran Canaria, SPAIN,"
슬로바키아,SK,일반,대사관,주 슬로바키아 대한민국 대사관,48.1423175,17.1145299,(421)2-3307-0711,(82)2-3210-0404,080-020-0219,(421)904-934-053,"Sturova 16, 811 02 Bratislava,"
슬로베니아,SI,겸임,대사관 겸 주 빈 국제기구대표부,주 오스트리아 대한민국 대사관 겸 주 빈 국제기구대표부,48.233009,16.337525,(43)1-478-1991,(82)2-3210-0404,080-020-0219,(43)664-527-0743,"Gregor-Mendel Strasse 25, A-1180 Vienna, Austria,"
시리아,SY,겸임,대사관,주 레바논 대한민국 대사관,33.84007,35.547211,(961)5-922-846,(82)2-3210-0404,080-020-0219,(961)81-007-491,"Bldg.4, Elias Sarkis Road 1209, Yarzeh, Baabda, Lebanon,"
시에라리온,SL,겸임,대사관,주 나이지리아 대한민국 대사관,9.084108,7.49347,(234)810-389-0991,(82)2-3210-0404,080-020-0219,(234)809-998-1726,"No.9 Ovia cresent, Off Pope John Paul Ⅱ street, Off Gana street, Maitama, Abuja,"
싱가포르,SG,일반,대사관,주 싱가포르 대한민국 대사관,1.312146,103.837197,(65)6256-1188,(82)2-3210-0404,080-020-0219,(65)9654-3528,"47 Scotts Road, #08-00 Goldbell Tower, Singapore 228233,"
아랍에미리트,AE,일반,대사관,주 아랍에미리트 대한민국 대사관,24.424774,54.441364,(971)2-441-1520,(82)2-3210-0404,080-020-0219,(971)50-133-7362,"33rd AirPort Road, Abu Dhabi, United Arab Emirates,"
아랍에미리트,AE,일반,총영사관,주 두바이 대한민국 총영사관,25.19898,55.24589,(971)4-344-9200,(82)2-3210-0404,080-020-0219,(971)50-553-2816,"Villa #39, Street 24b, Area 342, Jumeirah2, Dubai, United Arab Emirates,"
아르메니아,AM,겸임,대사관,주 러시아 대한민국 대사관,55.737956,37.57501,(7)495-783-2727,(82)2-3210-0404,080-020-0219,(7)495-783-2727,"St. Plyushchikha 56 bldg 1, Moscow,"
아르헨티나,AR,일반,대사관,주 아르헨티나 대한민국 대사관,-34.579598,-58.405488,(54)11-4802-8865,(82)2-3210-0404,080-020-0219,(54)911-4141-1450,"Av. del Libertador 2395 , C.A.B.A  (1425),  Argentina,"
아이슬란드,IS,겸임,대사관,주 노르웨이 대한민국 대사관,59.919738,10.724114,(47)2254-7090,(82)2-3210-0404,080-020-0219,(47)9026-3544,"Inkognitogata 3 0258 Oslo Norway,"
아이티,HT,겸임,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
아일랜드,IE,일반,대사관,주 아일랜드 대한민국 대사관,53.328858,-6.237402,(353)1-660-8800,(82)2-3210-0404,080-020-0219,(353)87-234-9226,"15 Clyde Road, Ballsbridge, Dublin 4, Ireland,"
아제르바이잔,AZ,일반,대사관,주 아제르바이잔공화국 대한민국 대사관,49.822154,40.393465,(994)12-596-7901,(82)2-3210-0404,080-020-0219,(994)51-877-9607,"Nasimi district, H.Aliyev St., Cross1, House 12, Baku, Azerbaijan,"
아프가니스탄,AF,일반,대사관,주 아프가니스탄 대한민국 대사관,34.535451,69.187373,(93)20-210-2481,(82)2-3210-0404,080-020-0219,(93)70-735-6492,"House No.34, Street No.10, Wazir Akbar Khan, Kabul, Afghanistan,"
안도라,AD,겸임,대사관,주 스페인 대한민국 대사관,40.465724,-3.666792,(34)91-353-2000,(82)2-3210-0404,080-020-0219,(34)648-924-695,"Calle Gonzalez Amigo 15, 28033 Madrid, Spain,"
알바니아,AL,겸임,대사관,주 그리스 대한민국 대사관,37.984663,23.760519,(30)210-698-4080,(82)2-3210-0404,080-020-0219,(30)694-611-7098,"Embassy of the Republic of Korea , Athens Tower A  building , 19th Floor, 2-4 Messogion Avenue, 115 27, Athens, Greece,"
알제리,DZ,일반,대사관,주 알제리 대한민국 대사관,36.755049,3.02583,(213)23-47-28-38,(82)2-3210-0404,080-020-0219,(213)770-11-44-00,"23, Chemin de la Madeleine Chekiken,Hydra, Alger, Algeria,"
앙골라,AO,일반,대사관,주 앙골라 대한민국 대사관,-8.920868,13.202023,(244)222-006-067,(82)2-3210-0404,080-020-0219,(244)938-880-573,"Condominio Zenith, Torre 1, 7&ordm; Andar, Via AL 16, Luanda, Angola,"
앤티가바부다,AG,겸임,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
에리트레아,ER,겸임,대사관,주 수단 대한민국 대사관,15.501577,32.572596,(249)1-8358-0031,(82)2-3210-0404,080-020-0219,(249)9-1217-2813,"House No.55, Al-Jazira Street 56, Khartoum 2, P.O.Box 2414, Khartoum, Sudan,"
에스와티니,SZ,겸임,대사관,주 남아프리카공화국 대한민국 대사관,-25.773293,28.226605,(27)12-460-2508,(82)2-3210-0404,080-020-0219,(27)66-332-5897,"265 Melk Street, Nieuw Muckleneuk, Pretoria 0181, South Africa,"
에스토니아,EE,겸임,대사관,주 핀란드 대한민국 대사관,60.1648551,24.9443138,(358)9-2515-000,(82)2-3210-0404,080-020-0219,(358)40-903-1021,"Erottajankatu 7, 00130 Helsinki, Finland,"
에콰도르,EC,일반,대사관,주 에콰도르 대한민국 대사관,-0.204792,-78.484813,(593)2-352-0874,(82)2-3210-0404,080-020-0219,(593)981-122-191,"Av. 12 de Octubre 1942 y Cordero, Edif. World Trade Center, Torre B, Piso 3, Quito, Ecuador,"
에티오피아,ET,일반,대사관,주 에티오피아 대한민국 대사관,9.051879,38.727486,(251)113-72-81-11,(82)2-3210-0404,080-020-0219,(251)92-217-4741,"Embassy of the Repulic of Korea House No. 856, Kebele 04, Nefas Silk Lafto, Addis Ababa, Ethiopia,"
엘살바도르,SV,일반,대사관,주 엘살바도르 대한민국 대사관,13.708722,-89.240969,(503)2263-9145,(82)2-3210-0404,080-020-0219,(503)7481-7401,"Cl, Mirador y 87 Avenida Norte, Edif, Torre Futura ,Nivel 14, Local 05, Complejo WTC,Col, Escalon, San Salvador,El Salvador,"
영국,GB,일반,대사관,주 영국 대한민국 대사관,51.497987,-0.136127,(44)20-7227-5500,(82)2-3210-0404,080-020-0219,(44)78-7650-6895,"60 Buckingham Gate, London, SW1E 6AJ, United Kingdom,"
예멘,YE,일반,대사관,주 예멘 대한민국 대사관,15.303638,44.191799,(966)11-488-2211,(82)2-3210-0404,080-020-0219,(966)53-717-8300,"P.O.BOX 5005, House No.4(Off Iran Street), Hadda Area, Sana, Republic of Yemen,"
오만,OM,일반,대사관,주 오만 대한민국 대사관,23.604299,58.429706,(968)2469-1490,(82)2-3210-0404,080-020-0219,(968)9944-2892,"Plot.42, Jamiat Al Duwal Al Arabia Street, Muscat, Sultanate of Oman,"
오스트리아,AT,일반,대사관 겸 주 빈 국제기구대표부,주 오스트리아 대한민국 대사관 겸 주 빈 국제기구대표부,48.233009,16.337525,(43)1-478-1991,(82)2-3210-0404,080-020-0219,(43)664-527-0743,"Gregor-Mendel Strasse 25, A-1180 Vienna, Austria,"
온두라스,HN,일반,대사관,주 온두라스 대한민국 대사관,14.086267,-87.186093,(504)2235-5561,(82)2-3210-0404,080-020-0219,(504)9442-4972,"Edificio Plaza Azul 5to piso, Col. Lomas del Guijarro, Tegucigalpa, Honduras,"
요르단,JO,일반,대사관,주 요르단 대한민국 대사관,31.95622,35.89159,(962)6-593-0745,(82)2-3210-0404,080-020-0219,(962)79-750-0358,"P.O.Box 3060, Bahjat Homsi st. 7, Amman 11181, Jordan,"
우간다,UG,일반,대사관,주 우간다 대한민국 대사관,0.320245,32.583,(256)414-500-197,(82)2-3210-0404,080-020-0219,(256)774-478-376,"Plot 14 Ternan Avenue, Kampala, Uganda,"
우루과이,UY,일반,대사관,주 우루과이 대한민국 대사관,-34.904111,-56.136127,(598)2628-9374,(82)2-3210-0404,080-020-0219,(598)94-111-593,"Av. Luis Alberto de Herrera 1248, Torre II, Piso10(World Trade Center), Montevideo, Uruguay,"
우즈베키스탄,UZ,일반,대사관,주 우즈베키스탄 대한민국 대사관,41.301358,69.271215,(998)71-252-3151,(82)2-3210-0404,080-020-0219,(998)91-192-1595,"Afrosiab St.7, Tashkent, Uzbekistan,"
우크라이나,UA,일반,대사관,주 우크라이나 대한민국 대사관,50.453521,30.51192,(380)44-246-3759,(82)2-3210-0404,080-020-0219,(380)95-119-0404,"12, Striletska St., 01001, Kyiv, Ukraine,"
이라크,IQ,일반,대사관,주 이라크 대한민국 대사관,33.287911,44.387676,(964)770-040-5883,(82)2-3210-0404,080-020-0219,(964)770-725-2006,"Villa W5, Dijla Diplomatic Compound Green Zone, Baghdad, Iraq,"
이라크,IQ,일반,분관,주 이라크 대한민국 대사관 아르빌 분관,36.184045,43.974079,(964)750-790-1678,(82)2-3210-0404,080-020-0219,(964)750-445-6098,"Rotana Hotel, Gulan Street, Erbil, Iraq,"
이란,IR,일반,대사관,주 이란 대한민국 대사관,35.764126,51.393378,(98)21-8805-4900,(82)2-3210-0404,080-020-0219,(98)912-159-1158,"No.2, West Daneshvar St, Shaikhbahaei Ave, Vanak Sq, Tehran, Iran,"
이스라엘,IL,일반,대사관,주 이스라엘 대한민국 대사관,32.162399,34.806532,(972)9-959-6826,(82)2-3210-0404,080-020-0219,(972)50-528-8345,"3rd Floor, 4 Hasadnaot St., Herzylia Pituach 46728, Israel,"
이집트,EG,일반,대사관,주 이집트 대한민국 대사관,30.041069,31.215145,(20)2-3761-1234,(82)2-3210-0404,080-020-0219,(20)12-8333-3236,"3 Boulos Hanna Street, Dokki, Cairo, Arab Republic of Egypt,"
이탈리아,IT,일반,대사관,주 이탈리아 대한민국 대사관,41.927196,12.485185,(39)06-802461,(82)2-3210-0404,080-020-0219,(39)335-185-0499,"Via Barnaba Oriani n. 30, Roma, 00197 Italy,"
이탈리아,IT,일반,총영사관,주 밀라노 대한민국 총영사관,45.479247,9.195969,(39)02-2906-2641,(82)2-3210-0404,080-020-0219,(39)329-751-1936,"Piazza Cavour 3, 20121, Milano, Italia,"
인도,IN,일반,대사관,주 인도 대한민국 대사관,28.589967,77.179078,(91)11-4200-7000,(82)2-3210-0404,080-020-0219,(91)99-5359-6008,"9, Chandragupta Marg, Chanakyapuri Extension, New Delhi-110021, India,"
인도,IN,일반,총영사관,주 첸나이 대한민국 총영사관,13.04413,80.270055,(91)44-4061-5500,(82)2-3210-0404,080-020-0219,(91)97-8982-3270,"5th Floor, Bannari Amman Towers, No.29, Dr. Radha Krishnan Road, Mylapore, Chennai 600 004,"
인도,IN,일반,총영사관,주 뭄바이 대한민국 총영사관,18.997992,72.818477,(91)22-6147-7000,(82)2-3210-0404,080-020-0219,(91)96193-22425,"12th Floor Lodha supremus, Dr E Moses road, Worli Naka, Mumbai 400018, INDIA,"
인도네시아,ID,일반,대사관,주 인도네시아 대한민국 대사관,-6.23925,106.832922,(62)21-2967-2580,(82)2-3210-0404,080-020-0219,(62)811-852-446,"Jalan Jenderal Gatot Subroto Kav. 57 Jakarta 12950, Indonesia,"
일본,JP,일반,총영사관,주 니가타 대한민국 총영사관,37.92731,139.061312,(81)25-255-5555,(82)2-3210-0404,080-020-0219,(81)90-8873-8853,"8th Floor, Bandaijima Building, Bandaijima 5-1, Chuo-ku, Niigata, Japan,"
일본,JP,일반,총영사관,주 오사카 대한민국 총영사관,34.681149,135.503924,(81)6-4256-2345,(82)2-3210-0404,080-020-0219,(81)90-3050-0746,"2-5-13, Gomi Bld., Kyutaromachi, Chuo-ku, Osaka-shi, Osaka, Japan,"
일본,JP,일반,총영사관,주 삿포로 대한민국 총영사관,43.06238404,141.338247,(81)11-218-0288,(82)2-3210-0404,080-020-0219,(81)80-1971-0288,"1-4, Nishi 12-Chome, KIta 2-jo, Chuo-ku Sapporo, Japan,"
일본,JP,일반,총영사관,주 센다이 대한민국 총영사관,38.269126,140.870953,(81)22-221-2751,(82)2-3210-0404,080-020-0219,(81)90-9538-0741,"4-3, 1-chome, Kamisugi, Aobaku, Sendai, Japan,"
일본,JP,일반,총영사관,주 요코하마 대한민국 총영사관,35.438042,139.656296,(81)45-621-4531,(82)2-3210-0404,080-020-0219,(81)80-6731-3285,"118, Yamatecho, Naka-ku, Yokohama, Japan,"
일본,JP,일반,대사관,주 일본 대한민국 대사관,35.65156,139.73698,(81)3-3455-2601,(82)2-3210-0404,080-020-0219,(81)70-2153-5454,"1-7-32 Minamiazabu Minato-ku, Tokyo, Japan,"
일본,JP,일반,총영사관,주 후쿠오카 대한민국 총영사관,33.591435,130.362918,(81)92-771-0461,(82)2-3210-0404,080-020-0219,(81)80-8588-2806,"1-1-3 Jigyohama, chuo-ku, Fukuoka, Japan,"
일본,JP,일반,총영사관,주 히로시마 대한민국 총영사관,34.393766,132.47846,(81)82-568-0502,(82)2-3210-0404,080-020-0219,(81)90-8712-8028,"4-22, Higashikouzin-Machi Minami-Ku, Hiroshima-Shi Japan,"
일본,JP,일반,총영사관,주 고베 대한민국 총영사관,34.695403,135.188742,(81)78-221-4853,(82)2-3210-0404,080-020-0219,(81)90-5099-0414,"2-21-5 Nakayamate-Dori, Chuo-ku, kobe, Japan,"
일본,JP,일반,총영사관,주 나고야 대한민국 총영사관,35.166249,136.885369,(81)52-586-9221,(82)2-3210-0404,080-020-0219,(81)80-4221-9500,"1-19-12, Meiekiminami, Nakamura-ku, Nagoya, Japan,"
자메이카,JM,일반,대사관(주킹스턴분관),주 자메이카 대한민국 대사관(주킹스턴분관),18.055754,-76.798232,(1-876)924-2731,(82)2-3210-0404,080-020-0219,(1-876)478-1755,"5 Oakridge Kingston 8 Jamaica W. I.,"
잠비아,ZM,겸임,대사관,주 짐바브웨 대한민국 대사관,-17.831424,31.052597,(263-242)756-541,(82)2-3210-0404,080-020-0219,(263)782-840-787,"3rd floor(Bridge-Red light side), Eastgate Building, 3rd Street/Robert Mugabe Rolad, Harare, Zimbavwe(P.O.Box 4970),"
적도기니,GQ,일반,대사관 말라보 분관,주 적도기니공화국 대한민국 대사관 말라보 분관,3.7535273,8.7069704,(240)333-090-775,(82)2-3210-0404,080-020-0219,(240)222-433-173,"Villa 14, Hotel 3 de Agosto, Malabo, Guinea Ecuatorial,"
조지아,GE,일반,대사관 트빌리시 분관,주 조지아 대한민국 대사관 트빌리시 분관,41.709981,44.79299,(995)322-970-318,(82)2-3210-0404,080-020-0219,(995)599-094-746,"Nugzar Sajia Str. 8, Tbilisi 0179, Georgia,"
중국,CN,일반,총영사관,주 홍콩 대한민국 총영사관,22.279938,114.16408,(852)2529-4141,(82)2-3210-0404,080-020-0219,(852)9731-0092,"5F, Far East Finance Centre, 16 Harcourt Road, Admiralty, Hong Kong,"
중국,CN,일반,대사관,주 중국 대한민국 대사관,39.571951,116.275275,(86)10-8531-0700,(82)2-3210-0404,080-020-0219,(86)186-1173-0089,"No.20, DongfangdongLu Chaoyang District, Beijing, China 100600,"
중국,CN,일반,총영사관,주 청두 대한민국 총영사관,30.656032,104.067034,(86)28-8616-5800,(82)2-3210-0404,080-020-0219,(86)139-8095-6348,"14F Square One, 18 Dongyu Street, Jinjiang District, Chengdu, Sichuan, P.R. China , 610016.,"
중국,CN,일반,출장소,주 다롄 대한민국 출장소,38.922919,121.649229,(86)411-8235-6288,(82)2-3210-0404,080-020-0219,(86)158-4085-1230,"FL Hongyuan building, Renmin Road, Zhongshan district, Dalian, 11600, China,"
중국,CN,일반,총영사관,주 광저우 대한민국 총영사관,23.10168757,113.3197036,(86)20-2919-2999,(82)2-3210-0404,080-020-0219,(86)139-2247-3457,"No. 18, Youlin Road 3, Chigang Consulate Area, Haizhu District, Gangzhou, China 510310,"
중국,CN,일반,총영사관,주 칭다오 대한민국 총영사관,36.316019,120.435135,(86)532-8897-6001,(82)2-3210-0404,080-020-0219,(86)186-6026-5087,"中山省市城春路88,"
중국,CN,일반,총영사관,주 상하이 대한민국 총영사관,31.204412,121.40166,(86)21-6295-5000,(82)2-3210-0404,080-020-0219,(86)138-1650-9503,"60WanShan Road, Shanghai, China 200336,"
중국,CN,일반,총영사관,주 선양 대한민국 총영사관,41.7839708,123.4268609,(86)24-2385-3388,(82)2-3210-0404,080-020-0219,(86)138-0400-6338,"No.37, South 13 Latitude Road, Heping District,. Shenyang, Liaoning, 110003 P.R.China,"
중국,CN,일반,총영사관,주 우한 대한민국 총영사관,30.590266,114.275139,(86)27-8556-1085,(82)2-3210-0404,080-020-0219,(86)159-2624-1112,"4F, Pudong, Develpment Bank B/D, 218, Xinhua-Road, Jianghan-District, Wuhan, 430022 P.R.China,"
중국,CN,일반,총영사관,주 시안 대한민국 총영사관,34.231976,108.90348,(86)29-8835-1001,(82)2-3210-0404,080-020-0219,(86)187-1091-0838,"中國 陝西省 西安市 高新技術産業開發區 科技路33號 高新國際商務中心19層,"
중앙아프리카공화국,CF,겸임,대사관,주 카메룬 대한민국 대사관,3.896586103,11.51830304,(237)2-2220-3756,(82)2-3210-0404,080-020-0219,(237)694-873-695,"House NO. 85, Rosa Park Avenue, Ntougou-Golf, P.O.Box, 13286, Yaounde, Cameroon,"
지부티,DJ,겸임,대사관,주 에티오피아 대한민국 대사관,9.051879,38.727486,(251)113-72-81-11,(82)2-3210-0404,080-020-0219,(251)92-217-4741,"Embassy of the Repulic of Korea House No. 856, Kebele 04, Nefas Silk Lafto, Addis Ababa, Ethiopia,"
짐바브웨,ZW,일반,대사관,주 짐바브웨 대한민국 대사관,-17.831424,31.052597,(263-242)756-541,(82)2-3210-0404,080-020-0219,(263)782-840-787,"3rd floor(Bridge-Red light side), Eastgate Building, 3rd Street/Robert Mugabe Rolad, Harare, Zimbavwe(P.O.Box 4970),"
차드,TD,겸임,대사관,주 카메룬 대한민국 대사관,3.896586103,11.51830304,(237)2-2220-3756,(82)2-3210-0404,080-020-0219,(237)694-873-695,"House NO. 85, Rosa Park Avenue, Ntougou-Golf, P.O.Box, 13286, Yaounde, Cameroon,"
체코,CZ,일반,대사관,주 체코 대한민국 대사관,50.098946,14.41012,(420)234-090-411,(82)2-3210-0404,080-020-0219,(420)725-352-420,"Slavickova 5, 160 00 Praha 6-Bubenec, Czech Republic,"
칠레,CL,일반,대사관,주 칠레 대한민국 대사관,-33.415794,-70.589559,(56)2-2228-4214,(82)2-3210-0404,080-020-0219,(56)9-7430-4546,"Av. Alcatara 74, Las Condes, Santiago, Chile,"
카메룬,CM,일반,대사관,주 카메룬 대한민국 대사관,3.896586103,11.51830304,(237)2-2220-3756,(82)2-3210-0404,080-020-0219,(237)694-873-695,"House NO. 85, Rosa Park Avenue, Ntougou-Golf, P.O.Box, 13286, Yaounde, Cameroon,"
카보베르데,CV,겸임,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
카자흐스탄,KZ,일반,대사관,주 카자흐스탄 대한민국 대사관,51.130734,71.477602,(7)7172-572-100,(82)2-3210-0404,080-020-0219,(7)705-757-9922,"Obagan 5, Nur-Sultan,010009 Kazakhstan,"
카자흐스탄,KZ,일반,총영사관,주 알마티 대한민국 총영사관,43.254579,76.959507,(7)727-291-0490,(82)2-3210-0404,080-020-0219,(7)777-705-6634,"Kaldayakov st. 66A, Bogenbai batyr st. corner, Almaty,"
카타르,QA,일반,대사관,주 카타르 대한민국 대사관,25.3443533,51.5162303,(974)4483-2238,(82)2-3210-0404,080-020-0219,(974)5001-1695,"P.O.BOX 3727, New Diplomatic Area, Al Shabab St., Onaiza-66, Doha, Qatar,"
캄보디아,KH,일반,대사관,주 캄보디아 대한민국 대사관,11.547537,104.937532,(855)23-211-900,(82)2-3210-0404,080-020-0219,(855)92-555-235,"Phum No.14, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia,"
캄보디아,KH,일반,분관,주 시엠립 대한민국 분관,13.376702,103.878029,(855)63-99-0400,(82)2-3210-0404,080-020-0219,(855)17-925-388,"2F, Jasmine Spa Building, Sokha Siem Reap Resort&amp;Convention Center, St. 60, Siem Reap, Kingdom of Cambodia,"
캐나다,CA,일반,대사관,주 캐나다 대한민국 대사관,45.435292,-75.694839,(1)613-244-5010,(82)2-3210-0404,080-020-0219,(1)613-986-0482,"150 Boteler Street, Ottawa, Ontario, K1N 5A6, Canada,"
캐나다,CA,일반,총영사관 겸 주국제민간항공기구대표부,주 몬트리올 대한민국 총영사관 겸 주국제민간항공기구대표부,45.504302,-73.57375,(1)514-845-2555,(82)2-3210-0404,080-020-0219,(1)514-261-4677,"1250 Rene-Levesque Bld. West, Suite 3600(36층), Montreal Quebec, Canada, H3B 4W8,"
캐나다,CA,일반,총영사관,주 토론토 대한민국 총영사관,43.687904,-79.401977,(1)416-920-3809,(82)2-3210-0404,080-020-0219,(1)416-994-4490,"555 Avenue Road, Toronto, Ontario M4V 2J7, Canada,"
캐나다,CA,일반,총영사관,주 밴쿠버 대한민국 총영사관,49.2827,-123.1207,(1)604-681-9581,(82)2-3210-0404,080-020-0219,(1)604-313-0911,"1600, 1090 West Georgia St. Vancouver, BC Canada V6E 3V7,"
케냐,KE,일반,대사관,주 케냐 대한민국 대사관,-1.270147,36.810002,(254)20-361-5109,(82)2-3210-0404,080-020-0219,(254)708-984-891,"Misha Towers, Westlands Road, Nairobi, Kenya,"
코모로,KM,겸임,대사관,주 마다가스카르 대한민국 대사관,-18.884792,47.522183,(261)20-222-2933,(82)2-3210-0404,080-020-0219,(261)32-781-0874,"Immeuble Fitaratra-9eme Etage Nord, Ankorondrano, 101 Antananarivo, Madagascar,"
코소보,XK,겸임,대사관 겸 주 빈 국제기구대표부,주 오스트리아 대한민국 대사관 겸 주 빈 국제기구대표부,48.233009,16.337525,(43)1-478-1991,(82)2-3210-0404,080-020-0219,(43)664-527-0743,"Gregor-Mendel Strasse 25, A-1180 Vienna, Austria,"
코스타리카,CR,일반,대사관,주 코스타리카공화국 대한민국 대사관,9.933085,-84.133784,(506)2588-0852,(82)2-3210-0404,080-020-0219,(506)8410-3145,"400m norte y 200m oeste, del Restaurante Rostipollos, Urbanizacion Trejos Montealegre, San Rafael de Escazu, San Jose, Costa Rica,"
코트디부아르,CI,일반,대사관,주 코트디부아르 대한민국 대사관,5.331987,-3.996877,(225)2248-6701,(82)2-3210-0404,080-020-0219,(225)8827-3480,"01BP 3950 Abidjan 01, Rue Sainte Marie Lot 18-19, Cocody Sud, Abidjan, Cote d&rsquo;Ivoire,"
콜롬비아,CO,일반,대사관,주 콜롬비아 대한민국 대사관,4.676049,-74.044472,(57)1-616-7200,(82)2-3210-0404,080-020-0219,(57)321-976-3511,"Embajada de la Repulica de Corea Calle 94 No.9-39, Bogota, Colombia,"
콩고공화국,CG,겸임,대사관,주 콩고민주공화국 대한민국 대사관,-4.3123424,15.2847223,(243)1-503-5001,(82)2-3210-0404,080-020-0219,(243)85-110-7971,"63 Av De 1a Justice Gombe Kinshasa,"
콩고민주공화국(DR콩고),CD,일반,대사관,주 콩고민주공화국 대한민국 대사관,-4.3123424,15.2847223,(243)1-503-5001,(82)2-3210-0404,080-020-0219,(243)85-110-7971,"63 Av De 1a Justice Gombe Kinshasa,"
쿠바,CU,관할,대사관,주 멕시코 대한민국 대사관,19.416351,-99.213946,(52)55-5202-9866,(82)2-3210-0404,080-020-0219,(52)55-5437-8587,"Lope Diaz de Armendariz No.110, Col. Lomas Virreyes, C.P. 11000, Mexico, D.F.,"
쿠웨이트,KW,일반,대사관,주 쿠웨이트 대한민국 대사관,29.27764,48.061581,(965)2537-8621,(82)2-3210-0404,080-020-0219,(965)9919-3048,"Plot 6, Block 7A Diplomatic Zone 2, Mishref, Kuwait,"
쿡제도,CK,겸임,대사관,주 뉴질랜드 대한민국 대사관,-41.28572,174.777313,(64)4-473-9073,(82)2-3210-0404,080-020-0219,(64)21-0269-3271,"11th Floor, Harbour Tower, 2 Hunter Street, Wellington 6011, New Zealand,"
